,cat,label,poids_modelnet,poids_us,poids_modelnet_norm,poids_us_norm
0,cabinet-t,dessus_face,3.02,4.5,0.301,0.265
1,cabinet-t,dessus_face_droit,0.81,6.0,0.081,0.353
2,cabinet-t,dessus_profil_droit,0.0,0.7,0.0,0.041
3,cabinet-t,dessus_arriere_droit,1.44,0.0,0.144,0.0
4,cabinet-t,dessus_arriere,1.51,0.0,0.151,0.0
5,cabinet-t,dessus_arriere_gauche,0.06,0.0,0.006,0.0
6,cabinet-t,dessus_profil_gauche,0.31,0.6000000000000001,0.031,0.035
7,cabinet-t,dessus_face_gauche,2.88,5.200000000000001,0.287,0.306
