,cat,label,poids_modelnet,poids_us,poids_modelnet_norm,poids_us_norm
0,cabinet-t,dessus_face,16.55,4.5,0.422,0.265
1,cabinet-t,dessus_face_droit,5.98,6.0,0.153,0.353
2,cabinet-t,dessus_profil_droit,0.0,0.7,0.0,0.041
3,cabinet-t,dessus_arriere_droit,1.74,0.0,0.044,0.0
4,cabinet-t,dessus_arriere,7.199999999999999,0.0,0.184,0.0
5,cabinet-t,dessus_arriere_gauche,3.12,0.0,0.08,0.0
6,cabinet-t,dessus_profil_gauche,0.31,0.6000000000000001,0.008,0.035
7,cabinet-t,dessus_face_gauche,4.29,5.200000000000001,0.109,0.306
