,cat,label,poids_modelnet,poids_us,poids_modelnet_norm,poids_us_norm
0,A380,dessus_face,1.45,18.0,0.072,0.182
1,A380,dessus_face_droit,4.6,27.1,0.23,0.274
2,A380,dessus_profil_droit,3.72,9.3,0.186,0.094
3,A380,dessus_arriere_droit,0.94,6.0,0.047,0.061
4,A380,dessus_arriere,1.12,5.0,0.056,0.051
5,A380,dessus_arriere_gauche,1.7,4.6000000000000005,0.085,0.046
6,A380,dessus_profil_gauche,3.43,9.7,0.172,0.098
7,A380,dessus_face_gauche,3.04,19.3,0.152,0.195
