,cat,label,poids_modelnet,poids_us,poids_modelnet_norm,poids_us_norm
0,cabinet-n,dessus_face,8.369999999999997,4.5,0.27,0.265
1,cabinet-n,dessus_face_droit,6.9,6.0,0.223,0.353
2,cabinet-n,dessus_profil_droit,0.0,0.7,0.0,0.041
3,cabinet-n,dessus_arriere_droit,0.69,0.0,0.022,0.0
4,cabinet-n,dessus_arriere,0.31,0.0,0.01,0.0
5,cabinet-n,dessus_arriere_gauche,0.69,0.0,0.022,0.0
6,cabinet-n,dessus_profil_gauche,0.93,0.6000000000000001,0.03,0.035
7,cabinet-n,dessus_face_gauche,13.109999999999996,5.200000000000001,0.423,0.306
