,cat,label,poids_modelnet,poids_us,poids_modelnet_norm,poids_us_norm
0,vase,dessus_face,1.7399999999999998,1.7000000000000002,0.134,0.046
1,vase,dessus_face_droit,2.34,2.4,0.18,0.065
2,vase,dessus_profil_droit,2.03,12.0,0.156,0.324
3,vase,dessus_arriere_droit,1.61,7.500000000000001,0.124,0.203
4,vase,dessus_arriere,1.7400000000000002,4.9,0.134,0.132
5,vase,dessus_arriere_gauche,0.77,2.7,0.059,0.073
6,vase,dessus_profil_gauche,0.54,5.000000000000001,0.042,0.135
7,vase,dessus_face_gauche,2.24,0.8,0.172,0.022
