,cat,label,poids_modelnet,poids_us,poids_modelnet_norm,poids_us_norm
0,vase,dessus_face,14.499999999999998,1.7000000000000002,0.092,0.046
1,vase,dessus_face_droit,33.81,3.2,0.215,0.086
2,vase,dessus_profil_droit,54.0,17.0,0.344,0.459
3,vase,dessus_arriere_droit,37.61,10.200000000000001,0.239,0.276
4,vase,dessus_arriere,17.18,4.9,0.109,0.132
