,categorie - 0 axe sym,PS,Dnom,Dord,Dmod,L2_norm,L1_norm,cos_sim,fourier_dist,corr-pv,kl_div,js_div,bhatta_dist,circu_dist
0,ideal,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[1. 0.],0.0,0.0,0.001,0.0
2,carVasa_sym - 9/38,"(np.float64(0.73), 'C')",0.46,0.687,0.598,0.459,0.92,0.728,1.027,[0.438 0.461],0.591,0.389,0.203,0.92
3,cup_sym - 1/22,"(np.float64(0.202), 'W')",0.576,0.941,0.9,0.681,1.152,0.521,1.522,[0.17  0.785],1.147,0.509,0.39,1.0
4,A380_sym - 20/185,"(np.int64(1), 'C')",0.196,0.348,0.298,0.218,0.392,0.921,0.488,[0.766 0.131],0.111,0.167,0.029,0.392
5,cabinet-d_sym - 3/43,"(np.int64(1), 'C')",0.076,0.121,0.121,0.094,0.152,0.994,0.209,[0.991 0.001],0.08,0.166,0.04,0.152
6,cabinet-t_sym - 10/63,"(np.float64(0.75), 'W')",0.336,0.742,0.592,0.365,0.673,0.871,0.816,[0.833 0.08 ],inf,0.361,0.194,0.673
7,bench_sym - 1/47,"(np.float64(0.73), 'C')",0.362,0.808,0.646,0.42,0.724,0.85,0.938,[0.856 0.064],0.495,0.39,0.229,0.724
8,cabinet-n_sym - 1/40,"(np.float64(1.0), 'W')",0.076,0.121,0.121,0.094,0.152,0.994,0.209,[0.991 0.001],0.08,0.166,0.04,0.152
9,vase_sym - 18/157,"(np.float64(0.408), 'W')",0.25,0.412,0.41,0.282,0.5,0.864,0.631,[0.574 0.312],0.173,0.207,0.044,0.5
