,cat,label,poids_modelnet,poids_us,poids_modelnet_norm,poids_us_norm
0,cabinet-d,dessus_face,12.36,4.5,0.309,0.265
1,cabinet-d,dessus_face_droit,13.169999999999998,6.0,0.329,0.353
2,cabinet-d,dessus_profil_droit,0.0,0.7,0.0,0.041
3,cabinet-d,dessus_arriere_droit,1.38,0.0,0.034,0.0
4,cabinet-d,dessus_arriere,0.62,0.0,0.015,0.0
5,cabinet-d,dessus_arriere_gauche,0.0,0.0,0.0,0.0
6,cabinet-d,dessus_profil_gauche,0.0,0.6000000000000001,0.0,0.035
7,cabinet-d,dessus_face_gauche,12.48,5.200000000000001,0.312,0.306
